Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m^2/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m/s^2)
0.310000,1.028670,0.382466,-0.006962,0.895562,0.626024,0.399953,0.0000093,0.021827,1.667383,1.269327,0.039166,-26.687052,-25.321407,-28.173729,-27.604076,-27.775995,-0.006282,-0.021830,0.000054,-0.019345,-0.012280,13.999620,8.460801,14.236601,-14.055792,-8.867494,0.007283,0.013949,0.001927,-0.016619,-0.009518,0.002888,-0.016820,0.003697,-0.019644,-0.007507,0.008661,0.027700,0.000196,0.024823,0.018260
0.320000,0.469928,0.697007,0.024474,1.124044,0.337227,0.399957,-0.0000047,0.022322,1.458818,1.173340,0.047164,-25.027248,-23.568424,-26.188572,-26.167955,-25.761141,-0.018771,-0.006437,-0.005386,-0.026002,-0.005359,13.562215,10.892731,12.299258,-12.198098,-11.020919,0.012865,0.009531,0.001008,-0.017592,-0.003404,-0.020771,-0.000643,0.000459,-0.026203,0.002730,0.013636,0.006730,-0.005018,0.026043,0.004023
0.330000,-0.019574,0.684920,0.028785,1.033127,-0.013170,0.399980,-0.000032,0.022591,0.601418,0.385366,0.072467,-23.258713,-23.441784,-24.217451,-25.204468,-25.618671,-0.012664,0.001935,0.001181,-0.018760,0.001904,12.647271,12.931734,10.412405,-10.824129,-12.838144,0.013330,0.002303,0.001953,-0.017183,0.001137,-0.002458,0.012355,0.009241,-0.005503,0.009663,0.005255,-0.012745,0.001268,0.010997,-0.006674
0.340000,0.233487,0.006503,0.882112,0.397639,0.150670,0.400010,-0.000039,0.022553,0.305995,-0.279136,0.065823,-21.311943,-25.487774,-22.538269,-23.685478,-27.543543,-0.001597,0.002999,-0.015772,-0.008594,0.004412,14.412656,11.112554,12.507061,-12.574867,-10.938519,-0.006214,0.010183,0.003353,-0.000820,-0.012001,-0.008264,0.010820,0.001165,-0.002617,0.014471,0.027635,-0.011539,-0.016315,-0.010886,0.023019
0.350000,0.247165,-0.036958,0.792593,0.462822,0.440463,0.400032,-0.000039,0.022268,0.276247,-0.526518,0.059013,-19.375584,-27.360872,-20.944426,-21.917171,-29.697092,-0.0000085,-0.005982,-0.015849,-0.008867,-0.010637,16.400131,9.239962,15.487509,-15.160611,-9.764427,-0.001814,0.003167,0.012615,-0.007687,-0.006961,-0.000872,-0.003287,-0.001053,0.002938,-0.001871,0.004252,0.005374,-0.016396,0.002291,0.001972
0.360000,1.112596,-0.050912,0.570752,0.477519,1.144902,0.400039,-0.000038,0.022143,0.312154,-0.468405,0.052773,-17.427927,-24.993130,-19.118246,-20.465181,-28.371309,-0.000142,-0.030152,-0.012035,-0.009505,-0.032297,18.344933,8.062929,17.514709,-16.812250,-8.433539,-0.000715,0.013963,0.012809,-0.010803,-0.015432,-0.002963,-0.003178,-0.001493,0.000897,-0.005932,-0.000837,0.011476,-0.012395,0.006383,0.003314
0.370000,1.937627,-0.070229,-0.102006,0.005537,1.547138,0.400042,-0.000030,0.022333,0.632896,0.001313,0.055314,-17.418686,-23.964907,-19.017284,-20.476501,-25.849796,0.000485,-0.039199,0.001021,-0.000979,-0.032874,20.202524,5.189578,19.458717,-18.849800,-7.811215,-0.001928,0.031964,-0.001277,-0.001865,-0.028170,-0.003106,0.000215,-0.002881,-0.002558,0.001484,0.005647,0.013930,0.000986,0.004324,0.025721
0.380000,1.356730,-0.006276,-0.063388,0.352012,1.158034,0.400042,-0.000032,0.022795,1.209143,0.780998,0.070595,-19.385529,-22.614315,-20.885702,-22.545544,-23.502228,0.006665,-0.025513,0.007391,0.000743,-0.028505,18.215240,7.500122,17.476542,-17.549791,-10.388638,0.008057,0.015013,0.006456,-0.014407,-0.008645,0.006903,-0.018866,0.009265,0.004491,-0.024945,-0.025981,0.044793,0.007150,0.017758,0.003687
0.390000,0.847802,0.191280,-0.038554,0.426837,0.326443,0.400045,-0.000033,0.023053,1.689921,1.489738,0.066461,-21.318970,-21.476454,-22.804806,-24.385374,-21.835865,-0.002396,-0.015849,0.000718,-0.006410,-0.004907,16.455210,9.724660,15.483329,-15.518639,-12.443289,0.002857,0.011257,-0.001069,-0.008956,-0.007463,0.000311,-0.018310,0.003377,-0.006733,-0.002433,0.012880,0.027176,0.000824,0.012761,0.015107
0.400000,0.339900,0.736960,0.043209,1.215148,0.321590,0.400057,-0.000044,0.023287,1.749742,1.427425,0.070403,-19.591127,-19.551161,-20.908541,-22.063520,-19.918562,-0.016908,-0.004168,-0.006552,-0.027847,-0.001949,14.619748,11.652468,13.780617,-15.142907,-14.481717,0.016320,0.006788,0.001750,-0.019321,-0.003348,-0.018764,0.000707,-0.000999,-0.035689,0.007195,0.007872,0.003933,-0.006157,0.034330,0.000942
0.410000,-0.045575,0.892453,0.019626,1.153336,-0.013746,0.400089,-0.000068,0.023405,1.311717,0.558442,0.091194,-17.853264,-19.593184,-18.924505,-20.569103,-19.772596,-0.012913,0.003065,0.001695,-0.017595,0.002242,13.359768,13.605983,11.975972,-14.088849,-16.368990,0.020446,0.000065,0.001419,-0.020457,0.000575,-0.007546,0.015771,0.011123,-0.010595,0.010308,0.014123,-0.006385,0.001816,0.024436,-0.004767
0.420000,0.189357,0.480830,0.783984,0.875319,0.333340,0.400136,-0.000091,0.023465,0.367779,-0.591003,0.094285,-16.172520,-21.541945,-16.809320,-18.383743,-21.674543,-0.007431,0.004684,-0.008961,-0.014752,0.002696,13.124673,11.792104,12.551157,-12.805903,-14.598536,0.004042,0.011339,0.009638,-0.018309,-0.013477,-0.003069,0.014065,0.016960,0.005997,0.014174,0.025908,-0.020408,-0.009157,0.010716,0.010604
0.430000,0.041127,-0.084567,1.278764,0.504151,0.431864,0.400166,-0.000095,0.023552,0.272514,-1.076602,0.087244,-14.239299,-23.476753,-15.244125,-16.283134,-23.806240,-0.000051,-0.003579,-0.024646,-0.010567,-0.009527,15.037563,9.809216,15.250310,-15.066463,-13.004711,-0.005442,-0.000211,0.017005,-0.003085,-0.009696,-0.004746,-0.011793,0.001488,0.001740,-0.000301,0.013835,0.006110,-0.025480,-0.009245,0.007905
0.440000,0.505866,-0.020936,0.691127,0.347883,0.790628,0.400182,-0.000095,0.023585,0.284265,-1.011148,0.086069,-12.331159,-23.311087,-13.579003,-14.649196,-23.538673,-0.000710,-0.011056,-0.010134,-0.005262,-0.017296,16.961407,7.954247,17.374853,-17.052330,-12.646029,-0.000764,0.006926,0.015419,-0.008115,-0.014246,-0.005200,0.003248,0.007959,0.004090,0.006234,0.000817,0.006489,-0.010558,0.004207,0.002715
0.450000,1.376120,-0.046053,-0.066711,0.009820,1.140293,0.400193,-0.000094,0.023494,0.418699,-0.605079,0.098656,-12.327783,-22.105505,-13.515959,-14.653823,-22.144918,0.000459,-0.030917,0.000075,0.000122,-0.027363,18.810341,5.256076,19.118902,-18.980505,-12.403869,-0.000831,0.019662,0.000058,-0.001447,-0.019092,-0.001489,0.009511,-0.002635,-0.000371,0.003893,0.001558,0.010077,0.000123,0.000696,0.009978
0.460000,1.447674,0.010856,-0.053105,0.362493,1.091411,0.400202,-0.000102,0.023590,0.417573,0.126138,0.115228,-14.227716,-21.603596,-15.391745,-16.789774,-19.872557,0.006316,-0.025926,0.007362,0.002067,-0.021019,16.922285,8.129210,17.135412,-17.588556,-11.292792,0.008814,0.016202,0.006925,-0.014926,-0.019625,0.001813,-0.001389,0.005963,0.005660,-0.004544,-0.024379,0.025238,0.007103,0.008671,0.008677
0.470000,0.739229,0.642968,-0.058939,0.462518,0.675502,0.400217,-0.000104,0.023744,0.748811,0.603003,0.134067,-16.275295,-19.457592,-17.323549,-18.836926,-18.485382,-0.006410,-0.014833,0.001316,-0.005516,-0.010357,15.377542,10.898933,15.028901,-16.323769,-12.779451,0.010933,0.008045,-0.002153,-0.009354,-0.007232,0.002565,-0.007979,0.005649,-0.000486,-0.001865,0.018495,0.019061,0.001454,0.006255,-0.000399
0.480000,0.210158,0.828486,-0.002035,0.762570,0.547205,0.400238,-0.000115,0.023876,0.719820,0.522715,0.145504,-16.566719,-17.457775,-17.398699,-19.364500,-16.420700,-0.010245,-0.002940,0.000416,-0.010644,-0.006622,13.467248,12.809474,13.048203,-14.895420,-15.022088,0.018555,0.007050,0.000995,-0.015218,-0.009814,-0.003563,0.002421,0.004036,-0.003887,0.002352,0.002565,-0.010765,0.000511,0.008659,0.006272
0.490000,-0.109980,0.894233,0.672818,1.069050,0.222652,0.400272,-0.000128,0.023956,0.648761,-0.083521,0.154022,-14.958770,-17.508642,-15.365525,-17.891127,-16.261469,-0.018586,0.004139,-0.012977,-0.021336,-0.001344,12.170961,14.783644,11.540506,-13.165561,-17.321392,0.016423,-0.003390,0.008142,-0.019943,-0.003340,-0.006527,0.013366,0.008599,-0.001668,0.007574,0.009128,0.005178,-0.012822,0.018935,-0.001763
